time_s,engine_rpm,secondary_rpm,filtered_engine_rpm,filtered_secondary_rpm,target_rpm,velocity_command,velocity_estimate,throttle,brake
0.009,60,168,60,168,2100,-80.0,0.0,0.0,0.0
0.019,60,168,60,168,2100,-80.0,0.0,0.0,0.0
0.029,60,168,60,168,2100,-80.0,0.0,0.0,0.0
0.039,60,168,60,168,2100,-80.0,0.0,0.0,0.0
0.049,60,168,60,168,2100,-80.0,0.0,0.0,0.0
0.059,60,168,60,168,2100,-80.0,0.0,0.0,0.0
0.069,60,168,60,168,2100,-80.0,0.0,0.0,0.0
0.079,60,168,60,168,2100,-80.0,0.0,0.0,0.0
0.089,60,168,60,168,2100,-80.0,0.0,0.0,0.0
0.099,60,168,60,168,2100,-80.0,0.0,0.0,0.0
0.109,60,168,60,168,2100,-80.0,0.0,0.0,0.0
0.119,60,168,60,168,2100,-80.0,0.0,0.0,0.0
0.129,60,168,60,168,2100,-80.0,0.0,0.0,0.0
0.139,60,168,60,168,2100,-80.0,0.0,0.0,0.0
0.149,60,168,60,168,2100,-80.0,0.0,0.0,0.0
0.159,60,168,60,168,2100,-80.0,0.0,0.0,0.0
0.169,60,168,60,168,2100,-80.0,0.0,0.0,0.0
0.179,60,168,60,168,2100,-80.0,0.0,0.0,0.0
0.189,60,168,60,168,2100,-80.0,0.0,0.0,0.0
0.199,60,168,60,168,2100,-80.0,0.0,0.0,0.0
0.209,60,168,60,168,2100,-80.0,0.0,0.0,0.0
0.219,60,168,60,168,2100,-80.0,0.0,0.0,0.0
0.229,60,168,60,168,2100,-80.0,0.0,0.0,0.0
0.239,60,168,60,168,2100,-80.0,0.0,0.0,0.0
0.249,60,168,60,168,2100,-80.0,0.0,0.0,0.0
0.259,60,168,60,168,2100,-80.0,0.0,0.0,0.0
0.269,60,168,60,168,2100,-80.0,0.0,0.0,0.0
0.279,60,168,60,168,2100,-80.0,0.0,0.0,0.0
0.289,60,168,60,168,2100,-80.0,0.0,0.0,0.0
0.299,60,168,60,168,2100,-80.0,0.0,0.0,0.0
0.309,60,168,60,168,2100,-80.0,0.0,0.0,0.0
0.319,60,168,60,168,2100,-80.0,0.0,0.0,0.0
0.329,60,168,60,168,2100,-80.0,0.0,0.0,0.0
0.339,60,168,60,168,2100,-80.0,0.0,0.0,0.0
0.349,60,168,60,168,2100,-80.0,0.0,0.0,0.0
0.359,60,168,60,168,2100,-80.0,0.0,0.0,0.0
0.369,60,168,60,168,2100,-80.0,0.0,0.0,0.0
